variable,description,decade,pos_label,neg_label,pos_pct,n_valid,year_min,year_max,n_years,trend,was_flipped,question,stat_label,category,confidence,review_note,audit_action,audit_problem,audit_problem_detail,audit_reframe,audit_flip_error,audit_flip_note,review_status
natsoc,social security,2010s,too little,about right,0.6211,10534,1984,2024,25,,False,What % of Americans surveyed think the government spends too little on social security?,Think government spends too little on Social Security,Politics,1,,keep_as_is,,,,False,,pending
natsoc,social security,2020s,too little,about right,0.6281,10077,1984,2024,25,,False,What % of Americans surveyed think the government spends too little on social security?,Think government spends too little on Social Security,Politics,1,,keep_as_is,,,,False,,pending
natmass,mass transportation,1980s,about right,too little,0.6246,6804,1984,2022,24,,False,What % of Americans surveyed think spending on mass transportation is about right?,Think mass transportation spending is about right,Politics,1,,keep_as_is,,,,False,,pending
natmass,mass transportation,1990s,about right,too little,0.5926,10501,1984,2022,24,,False,What % of Americans surveyed think spending on mass transportation is about right?,Think mass transportation spending is about right,Politics,1,,keep_as_is,,,,False,,pending
natmass,mass transportation,2000s,about right,too little,0.5594,11233,1984,2022,24,,False,What % of Americans surveyed think spending on mass transportation is about right?,Think mass transportation spending is about right,Politics,1,,keep_as_is,,,,False,,pending
natmass,mass transportation,2010s,about right,too little,0.5659,9974,1984,2022,24,,False,What % of Americans surveyed think spending on mass transportation is about right?,Think mass transportation spending is about right,Politics,1,,keep_as_is,,,,False,,pending
natmass,mass transportation,2020s,about right,too little,0.5404,6784,1984,2022,24,,False,What % of Americans surveyed think spending on mass transportation is about right?,Think mass transportation spending is about right,Politics,1,,keep_as_is,,,,False,,pending
natpark,parks and recreation,1980s,about right,too little,0.6507,7827,1984,2022,24,,False,What % of Americans surveyed think spending on parks and recreation is about right?,Think parks and recreation spending about right,Politics,1,,keep_as_is,,,,False,,pending
natpark,parks and recreation,1990s,about right,too little,0.6451,11652,1984,2022,24,,False,What % of Americans surveyed think spending on parks and recreation is about right?,Think parks and recreation spending about right,Politics,1,,keep_as_is,,,,False,,pending
natpark,parks and recreation,2000s,about right,too little,0.6413,12239,1984,2022,24,,False,What % of Americans surveyed think spending on parks and recreation is about right?,Think parks and recreation spending about right,Politics,1,,keep_as_is,,,,False,,pending
natpark,parks and recreation,2010s,about right,too little,0.6452,10837,1984,2022,24,,False,What % of Americans surveyed think spending on parks and recreation is about right?,Think parks and recreation spending about right,Politics,1,,keep_as_is,,,,False,,pending
natpark,parks and recreation,2020s,about right,too little,0.6167,7140,1984,2022,24,,False,What % of Americans surveyed think spending on parks and recreation is about right?,Think parks and recreation spending about right,Politics,1,,keep_as_is,,,,False,,pending
natchld,assistance for childcare,2000s,too little,about right,0.6282,11573,2000,2024,13,,False,What % of Americans surveyed think the government provides too little assistance for childcare?,Government provides too little childcare assistance,Family,1,,keep_as_is,,,,False,,pending
natchld,assistance for childcare,2010s,too little,about right,0.5821,10160,2000,2024,13,,False,What % of Americans surveyed think the government provides too little assistance for childcare?,Government provides too little childcare assistance,Family,1,,keep_as_is,,,,False,,pending
natchld,assistance for childcare,2020s,too little,about right,0.6641,9772,2000,2024,13,,False,What % of Americans surveyed think the government provides too little assistance for childcare?,Government provides too little childcare assistance,Family,1,,keep_as_is,,,,False,,pending
nataidy,assistance to other countries:ver y,1980s,too much,about right,0.7881,4290,1984,2024,25,,False,What % of Americans surveyed think the U.S. gives too much aid to other countries?,Think U.S. gives too much foreign aid,Politics,1,,keep_as_is,,,,False,,pending
nataidy,assistance to other countries:ver y,1990s,too much,about right,0.788,5965,1984,2024,25,,False,What % of Americans surveyed think the U.S. gives too much aid to other countries?,Think U.S. gives too much foreign aid,Politics,1,,keep_as_is,,,,False,,pending
nataidy,assistance to other countries:ver y,2000s,too much,about right,0.7503,5912,1984,2024,25,,False,What % of Americans surveyed think the U.S. gives too much aid to other countries?,Think U.S. gives too much foreign aid,Politics,1,,keep_as_is,,,,False,,pending
nataidy,assistance to other countries:ver y,2010s,too much,about right,0.7389,5206,1984,2024,25,,False,What % of Americans surveyed think the U.S. gives too much aid to other countries?,Think U.S. gives too much foreign aid,Politics,1,,keep_as_is,,,,False,,pending
nataidy,assistance to other countries:ver y,2020s,too much,about right,0.6879,4827,1984,2024,25,,False,What % of Americans surveyed think the U.S. gives too much aid to other countries?,Think U.S. gives too much foreign aid,Politics,1,,keep_as_is,,,,False,,pending
educop,equal opportunity to obtain education?,1980s,yes,no,0.7195,1439,1984,1984,1,,False,What % of Americans surveyed believe there is equal opportunity to obtain education?,Believe equal opportunity to obtain education,Education,1,,keep_as_is,,,,False,,pending
govcare,govt concern for social welfare,1980s,on right track,too much care,0.7327,1380,1984,1984,1,,False,What % of Americans surveyed say the government is on the right track with social welfare (vs. doing too much)?,Say government on right track on welfare,Politics,2,Unclear if 'social welfare' is specific enough or if phrasing matches exact GSS wording.,reframe,underspecified,Unclear what specific welfare programs or policies surveyed.,What % of Americans surveyed think government doing right amount for welfare?,False,,edited
tax,r's federal income tax,1970s,too high,about right,0.678,2777,1976,2024,28,-0.0227,False,What % of Americans surveyed think their federal income tax is too high?,Think federal income tax too high,Politics,1,,keep_as_is,,,,False,,pending
tax,r's federal income tax,1980s,too high,about right,0.672,9470,1976,2024,28,-0.0227,False,What % of Americans surveyed think their federal income tax is too high?,Think federal income tax too high,Politics,1,,keep_as_is,,,,False,,pending
tax,r's federal income tax,1990s,too high,about right,0.6471,8289,1976,2024,28,-0.0227,False,What % of Americans surveyed think their federal income tax is too high?,Think federal income tax too high,Politics,1,,keep_as_is,,,,False,,pending
tax,r's federal income tax,2000s,too high,about right,0.6163,6726,1976,2024,28,-0.0227,False,What % of Americans surveyed think their federal income tax is too high?,Think federal income tax too high,Politics,1,,keep_as_is,,,,False,,pending
tax,r's federal income tax,2010s,too high,about right,0.5595,7367,1976,2024,28,-0.0227,False,What % of Americans surveyed think their federal income tax is too high?,Think federal income tax too high,Politics,1,,keep_as_is,,,,False,,pending
tax,r's federal income tax,2020s,too high,about right,0.6553,6920,1976,2024,28,-0.0227,False,What % of Americans surveyed think their federal income tax is too high?,Think federal income tax too high,Politics,1,,keep_as_is,,,,False,,pending
spkath,allow anti-religionist to speak,1970s,"yes, allowed to speak",not allowed,0.6545,7532,1972,2024,31,0.1338,False,What % of Americans surveyed believe anti-religionists should be allowed to speak publicly?,Allow anti-religionist to speak publicly,Civil Liberties,1,,keep_as_is,,,,False,,pending
spkath,allow anti-religionist to speak,1980s,"yes, allowed to speak",not allowed,0.6775,10032,1972,2024,31,0.1338,False,What % of Americans surveyed believe anti-religionists should be allowed to speak publicly?,Allow anti-religionist to speak publicly,Civil Liberties,1,,keep_as_is,,,,False,,pending
spkath,allow anti-religionist to speak,1990s,"yes, allowed to speak",not allowed,0.7441,8645,1972,2024,31,0.1338,False,What % of Americans surveyed believe anti-religionists should be allowed to speak publicly?,Allow anti-religionist to speak publicly,Civil Liberties,1,,keep_as_is,,,,False,,pending
spkath,allow anti-religionist to speak,2000s,"yes, allowed to speak",not allowed,0.7704,6963,1972,2024,31,0.1338,False,What % of Americans surveyed believe anti-religionists should be allowed to speak publicly?,Allow anti-religionist to speak publicly,Civil Liberties,1,,keep_as_is,,,,False,,pending
spkath,allow anti-religionist to speak,2010s,"yes, allowed to speak",not allowed,0.7894,7689,1972,2024,31,0.1338,False,What % of Americans surveyed believe anti-religionists should be allowed to speak publicly?,Allow anti-religionist to speak publicly,Civil Liberties,1,,keep_as_is,,,,False,,pending
spkath,allow anti-religionist to speak,2020s,"yes, allowed to speak",not allowed,0.7883,3592,1972,2024,31,0.1338,False,What % of Americans surveyed believe anti-religionists should be allowed to speak publicly?,Allow anti-religionist to speak publicly,Civil Liberties,1,,keep_as_is,,,,False,,pending
colath,allow anti-religionist to teach,1970s,"yes, allowed to teach",not allowed,0.4266,7382,1972,2024,31,0.2271,False,What % of Americans surveyed believe anti-religionists should be allowed to teach?,Allow anti-religionist to teach,Civil Liberties,1,,keep_as_is,,,,False,,pending
colath,allow anti-religionist to teach,1980s,"yes, allowed to teach",not allowed,0.4771,9782,1972,2024,31,0.2271,False,What % of Americans surveyed believe anti-religionists should be allowed to teach?,Allow anti-religionist to teach,Civil Liberties,1,,keep_as_is,,,,False,,pending
colath,allow anti-religionist to teach,1990s,"yes, allowed to teach",not allowed,0.5675,8354,1972,2024,31,0.2271,False,What % of Americans surveyed believe anti-religionists should be allowed to teach?,Allow anti-religionist to teach,Civil Liberties,1,,keep_as_is,,,,False,,pending
colath,allow anti-religionist to teach,2000s,"yes, allowed to teach",not allowed,0.6183,6798,1972,2024,31,0.2271,False,What % of Americans surveyed believe anti-religionists should be allowed to teach?,Allow anti-religionist to teach,Civil Liberties,1,,keep_as_is,,,,False,,pending
colath,allow anti-religionist to teach,2010s,"yes, allowed to teach",not allowed,0.6607,7548,1972,2024,31,0.2271,False,What % of Americans surveyed believe anti-religionists should be allowed to teach?,Allow anti-religionist to teach,Civil Liberties,1,,keep_as_is,,,,False,,pending
colath,allow anti-religionist to teach,2020s,"yes, allowed to teach",not allowed,0.6537,7116,1972,2024,31,0.2271,False,What % of Americans surveyed believe anti-religionists should be allowed to teach?,Allow anti-religionist to teach,Civil Liberties,1,,keep_as_is,,,,False,,pending
libath,allow anti-religious book in library,1970s,remove,not remove,0.3815,7427,1972,2024,31,0.1833,True,What % of Americans surveyed would support removing anti-religious books from public libraries?,Think anti-religious books should be removed,Civil Liberties,1,,reframe,wrong_question_text,Question text inverted from variable meaning (anti-religious vs. pro-censorship).,What % of Americans surveyed think anti-religious books should be allowed in public libraries?,False,,edited
libath,allow anti-religious book in library,1980s,remove,not remove,0.3537,9863,1972,2024,31,0.1833,True,What % of Americans surveyed would support removing anti-religious books from public libraries?,Think anti-religious books should be removed,Civil Liberties,1,,reframe,wrong_question_text,Question text inverted from variable meaning (anti-religious vs. pro-censorship).,What % of Americans surveyed think anti-religious books should be allowed in public libraries?,False,,edited
libath,allow anti-religious book in library,1990s,remove,not remove,0.2905,8476,1972,2024,31,0.1833,True,What % of Americans surveyed would support removing anti-religious books from public libraries?,Think anti-religious books should be removed,Civil Liberties,1,,reframe,wrong_question_text,Question text inverted from variable meaning (anti-religious vs. pro-censorship).,What % of Americans surveyed think anti-religious books should be allowed in public libraries?,False,,edited
libath,allow anti-religious book in library,2000s,remove,not remove,0.2742,6856,1972,2024,31,0.1833,True,What % of Americans surveyed would support removing anti-religious books from public libraries?,Think anti-religious books should be removed,Civil Liberties,1,,reframe,wrong_question_text,Question text inverted from variable meaning (anti-religious vs. pro-censorship).,What % of Americans surveyed think anti-religious books should be allowed in public libraries?,False,,edited
libath,allow anti-religious book in library,2010s,remove,not remove,0.2272,7619,1972,2024,31,0.1833,True,What % of Americans surveyed would support removing anti-religious books from public libraries?,Think anti-religious books should be removed,Civil Liberties,1,,reframe,wrong_question_text,Question text inverted from variable meaning (anti-religious vs. pro-censorship).,What % of Americans surveyed think anti-religious books should be allowed in public libraries?,False,,edited
libath,allow anti-religious book in library,2020s,remove,not remove,0.1982,3569,1972,2024,31,0.1833,True,What % of Americans surveyed would support removing anti-religious books from public libraries?,Think anti-religious books should be removed,Civil Liberties,1,,reframe,wrong_question_text,Question text inverted from variable meaning (anti-religious vs. pro-censorship).,What % of Americans surveyed think anti-religious books should be allowed in public libraries?,False,,edited
spksoc,allow socialist to speak,1970s,"yes, allowed to speak",not allowed,0.7998,4424,1972,1974,3,,False,What % of Americans surveyed believe socialists should be allowed to speak publicly?,Believe socialists should be allowed to speak,Civil Liberties,1,,keep_as_is,,,,False,,pending
colsoc,allow socialist to teach,1970s,allowed,not allowed,0.6098,4314,1972,1974,3,,False,What % of Americans surveyed said socialists should be allowed to teach in colleges?,Allow socialist to teach in college,Civil Liberties,1,,keep_as_is,,,,False,,pending
libsoc,allow socialists book in library,1970s,remove,not remove,0.263,4342,1972,1974,3,,True,What % of Americans surveyed would support removing socialist books from public libraries?,Think socialist books should be removed from libraries,Civil Liberties,1,,reframe,wrong_question_text,"Question asks about removal, but variable measures allowing books.",What % of Americans surveyed think socialist books should be allowed in public libraries?,False,,edited
spkrac,allow racist to speak,1970s,"yes, allowed to speak",not allowed,0.6147,2965,1976,2024,28,-0.1352,False,What % of Americans surveyed believe racist speakers should be allowed to speak publicly?,Believe racist speakers should be allowed to speak,Civil Liberties,1,,keep_as_is,,,,False,,pending
spkrac,allow racist to speak,1980s,"yes, allowed to speak",not allowed,0.5994,9887,1976,2024,28,-0.1352,False,What % of Americans surveyed believe racist speakers should be allowed to speak publicly?,Believe racist speakers should be allowed to speak,Civil Liberties,1,,keep_as_is,,,,False,,pending
spkrac,allow racist to speak,1990s,"yes, allowed to speak",not allowed,0.6329,8575,1976,2024,28,-0.1352,False,What % of Americans surveyed believe racist speakers should be allowed to speak publicly?,Believe racist speakers should be allowed to speak,Civil Liberties,1,,keep_as_is,,,,False,,pending
spkrac,allow racist to speak,2000s,"yes, allowed to speak",not allowed,0.6177,6917,1976,2024,28,-0.1352,False,What % of Americans surveyed believe racist speakers should be allowed to speak publicly?,Believe racist speakers should be allowed to speak,Civil Liberties,1,,keep_as_is,,,,False,,pending
spkrac,allow racist to speak,2010s,"yes, allowed to speak",not allowed,0.5893,7629,1976,2024,28,-0.1352,False,What % of Americans surveyed believe racist speakers should be allowed to speak publicly?,Believe racist speakers should be allowed to speak,Civil Liberties,1,,keep_as_is,,,,False,,pending
spkrac,allow racist to speak,2020s,"yes, allowed to speak",not allowed,0.4795,3581,1976,2024,28,-0.1352,False,What % of Americans surveyed believe racist speakers should be allowed to speak publicly?,Believe racist speakers should be allowed to speak,Civil Liberties,1,,keep_as_is,,,,False,,pending
colrac,allow racist to teach,1970s,"yes, allowed to teach",not allowed,0.4186,2929,1976,2024,28,0.0783,True,What % of Americans surveyed believe a person who is racist should be allowed to teach in college?,Believe racist should be allowed to teach,Civil Liberties,1,,keep_as_is,,,,False,,pending
colrac,allow racist to teach,1980s,"yes, allowed to teach",not allowed,0.4299,9744,1976,2024,28,0.0783,True,What % of Americans surveyed believe a person who is racist should be allowed to teach in college?,Believe racist should be allowed to teach,Civil Liberties,1,,keep_as_is,,,,False,,pending
colrac,allow racist to teach,1990s,"yes, allowed to teach",not allowed,0.4644,8393,1976,2024,28,0.0783,True,What % of Americans surveyed believe a person who is racist should be allowed to teach in college?,Believe racist should be allowed to teach,Civil Liberties,1,,keep_as_is,,,,False,,pending
colrac,allow racist to teach,2000s,"yes, allowed to teach",not allowed,0.4812,6823,1976,2024,28,0.0783,True,What % of Americans surveyed believe a person who is racist should be allowed to teach in college?,Believe racist should be allowed to teach,Civil Liberties,1,,keep_as_is,,,,False,,pending
colrac,allow racist to teach,2010s,"yes, allowed to teach",not allowed,0.4629,7564,1976,2024,28,0.0783,True,What % of Americans surveyed believe a person who is racist should be allowed to teach in college?,Believe racist should be allowed to teach,Civil Liberties,1,,keep_as_is,,,,False,,pending
colrac,allow racist to teach,2020s,"yes, allowed to teach",not allowed,0.3403,7103,1976,2024,28,0.0783,True,What % of Americans surveyed believe a person who is racist should be allowed to teach in college?,Believe racist should be allowed to teach,Civil Liberties,1,,keep_as_is,,,,False,,pending
librac,allow racists book in library,1970s,remove,not remove,0.3738,2920,1976,2024,28,-0.0596,True,What % of Americans surveyed believe books expressing views that black people are inferior should be removed from public libraries?,Believe racist books should be removed from libraries,Civil Liberties,2,Unclear if 'racists book' means books by racists or books about racism. Verify GSS wording.,reframe,underspecified,Ambiguous whether 'racist books' means books by racists or about racism.,What % of Americans surveyed think libraries should remove books expressing racist views?,False,,edited
librac,allow racists book in library,1980s,remove,not remove,0.3694,9796,1976,2024,28,-0.0596,True,What % of Americans surveyed believe books expressing views that black people are inferior should be removed from public libraries?,Believe racist books should be removed from libraries,Civil Liberties,2,Unclear if 'racists book' means books by racists or books about racism. Verify GSS wording.,reframe,underspecified,Ambiguous whether 'racist books' means books by racists or about racism.,What % of Americans surveyed think libraries should remove books expressing racist views?,False,,edited
librac,allow racists book in library,1990s,remove,not remove,0.3323,8456,1976,2024,28,-0.0596,True,What % of Americans surveyed believe books expressing views that black people are inferior should be removed from public libraries?,Believe racist books should be removed from libraries,Civil Liberties,2,Unclear if 'racists book' means books by racists or books about racism. Verify GSS wording.,reframe,underspecified,Ambiguous whether 'racist books' means books by racists or about racism.,What % of Americans surveyed think libraries should remove books expressing racist views?,False,,edited
librac,allow racists book in library,2000s,remove,not remove,0.3448,6851,1976,2024,28,-0.0596,True,What % of Americans surveyed believe books expressing views that black people are inferior should be removed from public libraries?,Believe racist books should be removed from libraries,Civil Liberties,2,Unclear if 'racists book' means books by racists or books about racism. Verify GSS wording.,reframe,underspecified,Ambiguous whether 'racist books' means books by racists or about racism.,What % of Americans surveyed think libraries should remove books expressing racist views?,False,,edited
librac,allow racists book in library,2010s,remove,not remove,0.3634,7594,1976,2024,28,-0.0596,True,What % of Americans surveyed believe books expressing views that black people are inferior should be removed from public libraries?,Believe racist books should be removed from libraries,Civil Liberties,2,Unclear if 'racists book' means books by racists or books about racism. Verify GSS wording.,reframe,underspecified,Ambiguous whether 'racist books' means books by racists or about racism.,What % of Americans surveyed think libraries should remove books expressing racist views?,False,,edited
librac,allow racists book in library,2020s,remove,not remove,0.4334,3556,1976,2024,28,-0.0596,True,What % of Americans surveyed believe books expressing views that black people are inferior should be removed from public libraries?,Believe racist books should be removed from libraries,Civil Liberties,2,Unclear if 'racists book' means books by racists or books about racism. Verify GSS wording.,reframe,underspecified,Ambiguous whether 'racist books' means books by racists or about racism.,What % of Americans surveyed think libraries should remove books expressing racist views?,False,,edited
spkcom,allow communist to speak,1970s,"yes, allowed to speak",not allowed,0.5802,7421,1972,2024,31,0.101,False,What % of Americans surveyed said communists should be allowed to speak publicly?,Allow communists to speak publicly,Civil Liberties,1,,keep_as_is,,,,False,,pending
spkcom,allow communist to speak,1980s,"yes, allowed to speak",not allowed,0.5984,9851,1972,2024,31,0.101,False,What % of Americans surveyed said communists should be allowed to speak publicly?,Allow communists to speak publicly,Civil Liberties,1,,keep_as_is,,,,False,,pending
spkcom,allow communist to speak,1990s,"yes, allowed to speak",not allowed,0.6823,8547,1972,2024,31,0.101,False,What % of Americans surveyed said communists should be allowed to speak publicly?,Allow communists to speak publicly,Civil Liberties,1,,keep_as_is,,,,False,,pending
spkcom,allow communist to speak,2000s,"yes, allowed to speak",not allowed,0.6876,6861,1972,2024,31,0.101,False,What % of Americans surveyed said communists should be allowed to speak publicly?,Allow communists to speak publicly,Civil Liberties,1,,keep_as_is,,,,False,,pending
spkcom,allow communist to speak,2010s,"yes, allowed to speak",not allowed,0.69,7490,1972,2024,31,0.101,False,What % of Americans surveyed said communists should be allowed to speak publicly?,Allow communists to speak publicly,Civil Liberties,1,,keep_as_is,,,,False,,pending
spkcom,allow communist to speak,2020s,"yes, allowed to speak",not allowed,0.6812,3537,1972,2024,31,0.101,False,What % of Americans surveyed said communists should be allowed to speak publicly?,Allow communists to speak publicly,Civil Liberties,1,,keep_as_is,,,,False,,pending
colcom,should communist teacher be fired,1970s,not fired,"yes, fired",0.4134,7177,1972,2024,31,0.2442,False,What % of Americans surveyed said a communist teacher should not be fired?,Communist teacher should not be fired,Civil Liberties,1,,keep_as_is,,,,False,,pending
colcom,should communist teacher be fired,1980s,not fired,"yes, fired",0.4831,9509,1972,2024,31,0.2442,False,What % of Americans surveyed said a communist teacher should not be fired?,Communist teacher should not be fired,Civil Liberties,1,,keep_as_is,,,,False,,pending
colcom,should communist teacher be fired,1990s,not fired,"yes, fired",0.5953,8204,1972,2024,31,0.2442,False,What % of Americans surveyed said a communist teacher should not be fired?,Communist teacher should not be fired,Civil Liberties,1,,keep_as_is,,,,False,,pending
colcom,should communist teacher be fired,2000s,not fired,"yes, fired",0.6238,6665,1972,2024,31,0.2442,False,What % of Americans surveyed said a communist teacher should not be fired?,Communist teacher should not be fired,Civil Liberties,1,,keep_as_is,,,,False,,pending
colcom,should communist teacher be fired,2010s,not fired,"yes, fired",0.663,7303,1972,2024,31,0.2442,False,What % of Americans surveyed said a communist teacher should not be fired?,Communist teacher should not be fired,Civil Liberties,1,,keep_as_is,,,,False,,pending
colcom,should communist teacher be fired,2020s,not fired,"yes, fired",0.6576,3482,1972,2024,31,0.2442,False,What % of Americans surveyed said a communist teacher should not be fired?,Communist teacher should not be fired,Civil Liberties,1,,keep_as_is,,,,False,,pending
libcom,allow communists book in library,1970s,remove,not remove,0.4138,7345,1972,2024,31,0.1346,True,What % of Americans surveyed said communists' books should be removed from libraries?,Support removing communist books from libraries,Civil Liberties,1,,keep_as_is,,,,False,,pending
libcom,allow communists book in library,1980s,remove,not remove,0.3923,9714,1972,2024,31,0.1346,True,What % of Americans surveyed said communists' books should be removed from libraries?,Support removing communist books from libraries,Civil Liberties,1,,keep_as_is,,,,False,,pending
libcom,allow communists book in library,1990s,remove,not remove,0.3126,8428,1972,2024,31,0.1346,True,What % of Americans surveyed said communists' books should be removed from libraries?,Support removing communist books from libraries,Civil Liberties,1,,keep_as_is,,,,False,,pending
libcom,allow communists book in library,2000s,remove,not remove,0.3035,6842,1972,2024,31,0.1346,True,What % of Americans surveyed said communists' books should be removed from libraries?,Support removing communist books from libraries,Civil Liberties,1,,keep_as_is,,,,False,,pending
libcom,allow communists book in library,2010s,remove,not remove,0.2692,7500,1972,2024,31,0.1346,True,What % of Americans surveyed said communists' books should be removed from libraries?,Support removing communist books from libraries,Civil Liberties,1,,keep_as_is,,,,False,,pending
libcom,allow communists book in library,2020s,remove,not remove,0.2792,3533,1972,2024,31,0.1346,True,What % of Americans surveyed said communists' books should be removed from libraries?,Support removing communist books from libraries,Civil Liberties,1,,keep_as_is,,,,False,,pending
spkmil,allow militarist to speak,1970s,"yes, allowed to speak",not allowed,0.5367,2970,1976,2021,26,0.0718,False,What % of Americans surveyed believe someone who wants to remove elections and let the military run the country should be allowed to make a speech?,Allow militarist to speak publicly,Civil Liberties,2,Clarify what 'militarist' means in GSS context—may be ambiguous to players.,reframe,underspecified,Player unclear what 'militarist' means in GSS survey context,What % of Americans surveyed believe people with militaristic views should be allowed to speak publicly?,False,,edited
spkmil,allow militarist to speak,1980s,"yes, allowed to speak",not allowed,0.5682,9874,1976,2021,26,0.0718,False,What % of Americans surveyed believe someone who wants to remove elections and let the military run the country should be allowed to make a speech?,Allow militarist to speak publicly,Civil Liberties,2,Clarify what 'militarist' means in GSS context—may be ambiguous to players.,reframe,underspecified,Player unclear what 'militarist' means in GSS survey context,What % of Americans surveyed believe people with militaristic views should be allowed to speak publicly?,False,,edited
spkmil,allow militarist to speak,1990s,"yes, allowed to speak",not allowed,0.6532,8567,1976,2021,26,0.0718,False,What % of Americans surveyed believe someone who wants to remove elections and let the military run the country should be allowed to make a speech?,Allow militarist to speak publicly,Civil Liberties,2,Clarify what 'militarist' means in GSS context—may be ambiguous to players.,reframe,underspecified,Player unclear what 'militarist' means in GSS survey context,What % of Americans surveyed believe people with militaristic views should be allowed to speak publicly?,False,,edited
spkmil,allow militarist to speak,2000s,"yes, allowed to speak",not allowed,0.6672,6900,1976,2021,26,0.0718,False,What % of Americans surveyed believe someone who wants to remove elections and let the military run the country should be allowed to make a speech?,Allow militarist to speak publicly,Civil Liberties,2,Clarify what 'militarist' means in GSS context—may be ambiguous to players.,reframe,underspecified,Player unclear what 'militarist' means in GSS survey context,What % of Americans surveyed believe people with militaristic views should be allowed to speak publicly?,False,,edited
spkmil,allow militarist to speak,2010s,"yes, allowed to speak",not allowed,0.713,7633,1976,2021,26,0.0718,False,What % of Americans surveyed believe someone who wants to remove elections and let the military run the country should be allowed to make a speech?,Allow militarist to speak publicly,Civil Liberties,2,Clarify what 'militarist' means in GSS context—may be ambiguous to players.,reframe,underspecified,Player unclear what 'militarist' means in GSS survey context,What % of Americans surveyed believe people with militaristic views should be allowed to speak publicly?,False,,edited
spkmil,allow militarist to speak,2020s,"yes, allowed to speak",not allowed,0.6085,1301,1976,2021,26,0.0718,False,What % of Americans surveyed believe someone who wants to remove elections and let the military run the country should be allowed to make a speech?,Allow militarist to speak publicly,Civil Liberties,2,Clarify what 'militarist' means in GSS context—may be ambiguous to players.,reframe,underspecified,Player unclear what 'militarist' means in GSS survey context,What % of Americans surveyed believe people with militaristic views should be allowed to speak publicly?,False,,edited
colmil,allow militarist to teach,1970s,"yes, allowed to teach",not allowed,0.3697,2926,1976,2021,26,-0.1018,True,What % of Americans surveyed said militarists (someone who wants to remove elections and let military run the country) should be allowed to teach in colleges?,Allow militarist to teach in college,Civil Liberties,2,Clarify if 'militarist' means advocate for military or military officer. Check historical context.,reframe,underspecified,Term 'militarist' is ambiguous; could mean advocate or officer.,What % of Americans surveyed said military advocates should be allowed to teach in colleges?,False,,edited
colmil,allow militarist to teach,1980s,"yes, allowed to teach",not allowed,0.4087,9693,1976,2021,26,-0.1018,True,What % of Americans surveyed said militarists (someone who wants to remove elections and let military run the country) should be allowed to teach in colleges?,Allow militarist to teach in college,Civil Liberties,2,Clarify if 'militarist' means advocate for military or military officer. Check historical context.,reframe,underspecified,Term 'militarist' is ambiguous; could mean advocate or officer.,What % of Americans surveyed said military advocates should be allowed to teach in colleges?,False,,edited
colmil,allow militarist to teach,1990s,"yes, allowed to teach",not allowed,0.4978,8367,1976,2021,26,-0.1018,True,What % of Americans surveyed said militarists (someone who wants to remove elections and let military run the country) should be allowed to teach in colleges?,Allow militarist to teach in college,Civil Liberties,2,Clarify if 'militarist' means advocate for military or military officer. Check historical context.,reframe,underspecified,Term 'militarist' is ambiguous; could mean advocate or officer.,What % of Americans surveyed said military advocates should be allowed to teach in colleges?,False,,edited
colmil,allow militarist to teach,2000s,"yes, allowed to teach",not allowed,0.5332,6787,1976,2021,26,-0.1018,True,What % of Americans surveyed said militarists (someone who wants to remove elections and let military run the country) should be allowed to teach in colleges?,Allow militarist to teach in college,Civil Liberties,2,Clarify if 'militarist' means advocate for military or military officer. Check historical context.,reframe,underspecified,Term 'militarist' is ambiguous; could mean advocate or officer.,What % of Americans surveyed said military advocates should be allowed to teach in colleges?,False,,edited
colmil,allow militarist to teach,2010s,"yes, allowed to teach",not allowed,0.5971,7532,1976,2021,26,-0.1018,True,What % of Americans surveyed said militarists (someone who wants to remove elections and let military run the country) should be allowed to teach in colleges?,Allow militarist to teach in college,Civil Liberties,2,Clarify if 'militarist' means advocate for military or military officer. Check historical context.,reframe,underspecified,Term 'militarist' is ambiguous; could mean advocate or officer.,What % of Americans surveyed said military advocates should be allowed to teach in colleges?,False,,edited
colmil,allow militarist to teach,2020s,"yes, allowed to teach",not allowed,0.4715,2637,1976,2021,26,-0.1018,True,What % of Americans surveyed said militarists (someone who wants to remove elections and let military run the country) should be allowed to teach in colleges?,Allow militarist to teach in college,Civil Liberties,2,Clarify if 'militarist' means advocate for military or military officer. Check historical context.,reframe,underspecified,Term 'militarist' is ambiguous; could mean advocate or officer.,What % of Americans surveyed said military advocates should be allowed to teach in colleges?,False,,edited
libmil,allow militarists book in library,1970s,remove,not remove,0.4281,2926,1976,2021,26,0.107,True,What % of Americans surveyed believe militarist books (books in favor of removing elections and having military run the country) should be removed from libraries?,Believe militarist books should be removed from libraries,Civil Liberties,2,Unclear what 'militarist book' means exactly; may need historical context on how this was defined in GSS.,reframe,underspecified,Unclear what 'militarist books' means; needs historical GSS context.,What % of Americans surveyed think books advocating militarism should be removed from public libraries?,False,,edited
libmil,allow militarists book in library,1980s,remove,not remove,0.4142,9784,1976,2021,26,0.107,True,What % of Americans surveyed believe militarist books (books in favor of removing elections and having military run the country) should be removed from libraries?,Believe militarist books should be removed from libraries,Civil Liberties,2,Unclear what 'militarist book' means exactly; may need historical context on how this was defined in GSS.,reframe,underspecified,Unclear what 'militarist books' means; needs historical GSS context.,What % of Americans surveyed think books advocating militarism should be removed from public libraries?,False,,edited
