"variable","decade","years_asked"
"drunk","1980s","1980, 1983, 1984, 1986, 1987, 1988, 1989"
"drunk","1990s","1990, 1991, 1993, 1994"
"smoke","1970s","1977, 1978"
"smoke","1980s","1980, 1983, 1984, 1986, 1987, 1988, 1989"
"smoke","1990s","1990, 1991, 1993, 1994"
"quitsmk","1970s","1978"
"quitsmk","1980s","1980, 1983, 1984, 1986, 1987, 1988, 1989"
"quitsmk","1990s","1990, 1991, 1993, 1994"
"smokecig","1970s","1977, 1978"
"smokecig","1980s","1980, 1983, 1984"
"cigweek","1970s","1977"
"evsmoke","1970s","1978"
"evsmoke","1980s","1980, 1983, 1984, 1986, 1987, 1988, 1989"
"evsmoke","1990s","1990, 1991, 1993, 1994"
"anomia1","1970s","1973, 1974, 1976"
"anomia2","1970s","1973, 1974, 1976"
"anomia3","1970s","1973, 1974, 1976"
"anomia4","1970s","1973, 1974, 1976"
"anomia5","1970s","1973, 1974, 1976, 1977"
"anomia5","1980s","1980, 1982, 1984, 1985, 1987, 1988, 1989"
"anomia5","1990s","1990, 1991, 1993, 1994"
"anomia6","1970s","1973, 1974, 1976, 1977"
"anomia6","1980s","1980, 1982, 1984, 1985, 1987, 1988, 1989"
"anomia6","1990s","1990, 1991, 1993, 1994"
"anomia7","1970s","1973, 1974, 1976, 1977"
"anomia7","1980s","1980, 1982, 1984, 1985, 1987, 1988, 1989"
"anomia7","1990s","1990, 1991, 1993, 1994"
"anomia7","2000s","2006"
"anomia8","1970s","1973, 1974, 1976"
"anomia9","1970s","1973, 1974, 1976"
"joblose","1970s","1977, 1978"
"joblose","1980s","1982, 1983, 1985, 1986, 1988, 1989"
"joblose","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"joblose","2000s","2000, 2002, 2004, 2006, 2008"
"joblose","2010s","2010, 2012, 2014, 2016, 2018"
"joblose","2020s","2021, 2022, 2024"
"jobfind","1970s","1977, 1978"
"jobfind","1980s","1982, 1983, 1985, 1986, 1988, 1989"
"jobfind","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"jobfind","2000s","2000, 2002, 2004, 2006, 2008"
"jobfind","2010s","2010, 2012, 2014, 2016, 2018"
"jobfind","2020s","2021, 2022, 2024"
"satjob","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"satjob","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"satjob","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"satjob","2000s","2000, 2002, 2004, 2006, 2008"
"satjob","2010s","2010, 2012, 2014, 2016, 2018"
"satjob","2020s","2021, 2022, 2024"
"richwork","1970s","1973, 1974, 1976, 1977"
"richwork","1980s","1980, 1982, 1984, 1985, 1987, 1988, 1989"
"richwork","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"richwork","2000s","2000, 2002, 2004, 2006, 2008"
"richwork","2010s","2010, 2012, 2014, 2016, 2018"
"richwork","2020s","2021, 2022, 2024"
"jobinc","1970s","1973, 1974, 1976, 1977"
"jobinc","1980s","1980, 1982, 1984, 1985, 1987, 1988, 1989"
"jobinc","1990s","1990, 1991, 1993, 1994"
"jobinc","2000s","2006"
"jobinc","2010s","2012, 2014"
"jobsec","1970s","1973, 1974, 1976, 1977"
"jobsec","1980s","1980, 1982, 1984, 1985, 1987, 1988, 1989"
"jobsec","1990s","1990, 1991, 1993, 1994"
"jobsec","2000s","2006"
"jobsec","2010s","2012, 2014"
"jobhour","1970s","1973, 1974, 1976, 1977"
"jobhour","1980s","1980, 1982, 1984, 1985, 1987, 1988, 1989"
"jobhour","1990s","1990, 1991, 1993, 1994"
"jobhour","2000s","2006"
"jobhour","2010s","2012, 2014"
"jobpromo","1970s","1973, 1974, 1976, 1977"
"jobpromo","1980s","1980, 1982, 1984, 1985, 1987, 1988, 1989"
"jobpromo","1990s","1990, 1991, 1993, 1994"
"jobpromo","2000s","2006"
"jobpromo","2010s","2012, 2014"
"jobmeans","1970s","1973, 1974, 1976, 1977"
"jobmeans","1980s","1980, 1982, 1984, 1985, 1987, 1988, 1989"
"jobmeans","1990s","1990, 1991, 1993, 1994"
"jobmeans","2000s","2006"
"jobmeans","2010s","2012, 2014"
"jobkeep","1980s","1982"
"jobpay","1980s","1982"
"jobrise","1980s","1982"
"jobhonor","1980s","1982"
"joboff","1980s","1982"
"jobinter","1980s","1982"
"jobindep","1980s","1982"
"jobresp","1980s","1982"
"jobpeop","1980s","1982"
"jobhelp","1980s","1982"
"jobsoc","1980s","1982"
"jobaccmp","1980s","1982"
"jobsafe","1980s","1982"
"class","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"class","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"class","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"class","2000s","2000, 2002, 2004, 2006, 2008"
"class","2010s","2010, 2012, 2014, 2016, 2018"
"class","2020s","2021, 2022, 2024"
"classy","1970s","1973"
"rank","1980s","1983, 1987"
"rank","2000s","2000, 2004, 2006"
"rank","2010s","2010, 2012, 2014, 2016, 2018"
"rank","2020s","2021, 2022, 2024"
"rank10","2000s","2000"
"satfin","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"satfin","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"satfin","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"satfin","2000s","2000, 2002, 2004, 2006, 2008"
"satfin","2010s","2010, 2012, 2014, 2016, 2018"
"satfin","2020s","2021, 2022, 2024"
"finalter","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"finalter","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"finalter","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"finalter","2000s","2000, 2002, 2004, 2006, 2008"
"finalter","2010s","2010, 2012, 2014, 2016, 2018"
"finalter","2020s","2021, 2022, 2024"
"finrela","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"finrela","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"finrela","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"finrela","2000s","2000, 2002, 2004, 2006, 2008"
"finrela","2010s","2010, 2012, 2014, 2016, 2018"
"finrela","2020s","2021, 2022, 2024"
"wksub","1970s","1972, 1973, 1974, 1976, 1977"
"wksub","1980s","1980, 1982, 1984, 1985, 1987, 1988, 1989"
"wksub","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"wksub","2000s","2000, 2002, 2004, 2006, 2008"
"wksub","2010s","2010, 2012, 2014, 2016, 2018"
"wksub","2020s","2021, 2022, 2024"
"wksubs","1970s","1972, 1973, 1974, 1976, 1977"
"wksubs","1980s","1980, 1982, 1984, 1985, 1987, 1988, 1989"
"wksubs","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"wksubs","2000s","2000, 2002, 2004, 2006, 2008"
"wksubs","2010s","2010, 2012, 2014, 2016, 2018"
"wksubs","2020s","2021, 2022, 2024"
"wksub1","2010s","2016, 2018"
"wksub1","2020s","2021, 2022, 2024"
"wksubs1","2010s","2016, 2018"
"wksubs1","2020s","2021, 2022, 2024"
"wksup","1970s","1972, 1973, 1974, 1976, 1977"
"wksup","1980s","1980, 1982, 1984, 1985, 1987, 1988, 1989"
"wksup","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"wksup","2000s","2000, 2002, 2004, 2006, 2008"
"wksup","2010s","2010, 2012, 2014, 2016, 2018"
"wksup","2020s","2021, 2022, 2024"
"wksups","1970s","1972, 1973, 1974, 1976, 1977"
"wksups","1980s","1980, 1982, 1984, 1985, 1987, 1988, 1989"
"wksups","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"wksups","2000s","2000, 2002, 2004, 2006, 2008"
"wksups","2010s","2010, 2012, 2014, 2016, 2018"
"wksups","2020s","2021, 2022, 2024"
"wksup1","2010s","2016, 2018"
"wksup1","2020s","2021, 2022, 2024"
"wksups1","2010s","2016, 2018"
"wksups1","2020s","2021, 2022, 2024"
"unemp","1970s","1973, 1974, 1975, 1976, 1977, 1978"
"unemp","1980s","1980, 1983, 1984, 1986, 1988, 1989"
"unemp","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"unemp","2000s","2000, 2002, 2004, 2006, 2008"
"unemp","2010s","2010, 2012, 2014, 2016, 2018"
"unemp","2020s","2021, 2022, 2024"
"govaid","1970s","1973, 1974, 1975, 1976, 1977, 1978"
"govaid","1980s","1980, 1983"
"getaid","1980s","1986"
"union","1970s","1973, 1975, 1976, 1978"
"union","1980s","1980, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"union","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"union","2000s","2000, 2002, 2004, 2006, 2008"
"union","2010s","2010, 2012, 2014, 2016, 2018"
"union","2020s","2021, 2022, 2024"
"union1","2010s","2016, 2018"
"union1","2020s","2021, 2022, 2024"
"getahead","1970s","1973, 1974, 1976, 1977"
"getahead","1980s","1980, 1982, 1984, 1985, 1987, 1988, 1989"
"getahead","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"getahead","2000s","2000, 2002, 2004, 2006, 2008"
"getahead","2010s","2010, 2012, 2014, 2016, 2018"
"getahead","2020s","2022, 2024"
"parsol","1990s","1994, 1996, 1998"
"parsol","2000s","2000, 2002, 2004, 2006, 2008"
"parsol","2010s","2010, 2012, 2014, 2016, 2018"
"parsol","2020s","2021, 2022, 2024"
"kidssol","1990s","1994, 1996, 1998"
"kidssol","2000s","2000, 2002, 2004, 2006, 2008"
"kidssol","2010s","2010, 2012, 2014, 2016, 2018"
"kidssol","2020s","2022, 2024"
"fehome","1970s","1974, 1975, 1977, 1978"
"fehome","1980s","1982, 1983, 1985, 1986, 1988, 1989"
"fehome","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"fework","1970s","1972, 1974, 1975, 1977, 1978"
"fework","1980s","1982, 1983, 1985, 1986, 1988, 1989"
"fework","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"fepres","1970s","1972, 1974, 1975, 1977, 1978"
"fepres","1980s","1982, 1983, 1985, 1986, 1988, 1989"
"fepres","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"fepres","2000s","2008"
"fepres","2010s","2010"
"fepol","1970s","1974, 1975, 1977, 1978"
"fepol","1980s","1982, 1983, 1985, 1986, 1988, 1989"
"fepol","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"fepol","2000s","2000, 2002, 2004, 2006, 2008"
"fepol","2010s","2010, 2012, 2014, 2016, 2018"
"fepol","2020s","2022, 2024"
"fepoly","1970s","1974"
"fepoly","1980s","1982"
"feimp","1980s","1983"
"feimp","1990s","1996"
"feinfo","1980s","1983"
"fefirm","1980s","1983"
"fecare","1980s","1983"
"fethink","1980s","1983"
"fewrite","1980s","1983"
"fegive","1980s","1983"
"fejoin","1980s","1983"
"abdefect","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"abdefect","1980s","1980, 1982, 1983, 1984, 1985, 1987, 1988, 1989"
"abdefect","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"abdefect","2000s","2000, 2002, 2004, 2006, 2008"
"abdefect","2010s","2010, 2012, 2014, 2016, 2018"
"abdefect","2020s","2021, 2022, 2024"
"abnomore","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"abnomore","1980s","1980, 1982, 1983, 1984, 1985, 1987, 1988, 1989"
"abnomore","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"abnomore","2000s","2000, 2002, 2004, 2006, 2008"
"abnomore","2010s","2010, 2012, 2014, 2016, 2018"
"abnomore","2020s","2021, 2022, 2024"
"abhlth","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"abhlth","1980s","1980, 1982, 1983, 1984, 1985, 1987, 1988, 1989"
"abhlth","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"abhlth","2000s","2000, 2002, 2004, 2006, 2008"
"abhlth","2010s","2010, 2012, 2014, 2016, 2018"
"abhlth","2020s","2021, 2022, 2024"
"abpoor","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"abpoor","1980s","1980, 1982, 1983, 1984, 1985, 1987, 1988, 1989"
"abpoor","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"abpoor","2000s","2000, 2002, 2004, 2006, 2008"
"abpoor","2010s","2010, 2012, 2014, 2016, 2018"
"abpoor","2020s","2021, 2022, 2024"
"abrape","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"abrape","1980s","1980, 1982, 1983, 1984, 1985, 1987, 1988, 1989"
"abrape","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"abrape","2000s","2000, 2002, 2004, 2006, 2008"
"abrape","2010s","2010, 2012, 2014, 2016, 2018"
"abrape","2020s","2021, 2022, 2024"
"absingle","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"absingle","1980s","1980, 1982, 1983, 1984, 1985, 1987, 1988, 1989"
"absingle","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"absingle","2000s","2000, 2002, 2004, 2006, 2008"
"absingle","2010s","2010, 2012, 2014, 2016, 2018"
"absingle","2020s","2021, 2022, 2024"
"abany","1970s","1977, 1978"
"abany","1980s","1980, 1982, 1983, 1984, 1985, 1987, 1988, 1989"
"abany","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"abany","2000s","2000, 2002, 2004, 2006, 2008"
"abany","2010s","2010, 2012, 2014, 2016, 2018"
"abany","2020s","2021, 2022, 2024"
"aborct","1970s","1973"
"abimp","1980s","1982, 1984"
"abinfo","1980s","1982, 1984"
"abfirm","1980s","1982, 1984"
"chldidel","1970s","1972, 1974, 1975, 1976, 1977, 1978"
"chldidel","1980s","1982, 1983, 1985, 1986, 1988, 1989"
"chldidel","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"chldidel","2000s","2000, 2002, 2004, 2006, 2008"
"chldidel","2010s","2010, 2012, 2014, 2016, 2018"
"chldidel","2020s","2021, 2022, 2024"
"chldmore","1970s","1972, 1974, 1975, 1976, 1977, 1978"
"chldmore","1980s","1982, 1983, 1985, 1986, 1988, 1989"
"chldmore","1990s","1990, 1991, 1993, 1994"
"chldnum","1970s","1972, 1974, 1975, 1976, 1977, 1978"
"chldnum","1980s","1982, 1983, 1985, 1986, 1988, 1989"
"chldnum","1990s","1990, 1991, 1993, 1994"
"chldsoon","1970s","1972, 1974, 1975, 1976, 1977, 1978"
"chldsoon","1980s","1982, 1983"
"pill","1970s","1974, 1975, 1977"
"pill","1980s","1982, 1983"
"teenpill","1970s","1974, 1975, 1977"
"teenpill","1980s","1982, 1983"
"pillok","1980s","1986, 1988, 1989"
"pillok","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"pillok","2000s","2000, 2002, 2004, 2006, 2008"
"pillok","2010s","2010, 2012, 2014, 2016, 2018"
"pillok","2020s","2021, 2022, 2024"
"sexeduc","1970s","1974, 1975, 1977"
"sexeduc","1980s","1982, 1983, 1985, 1986, 1988, 1989"
"sexeduc","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"sexeduc","2000s","2000, 2002, 2004, 2006, 2008"
"sexeduc","2010s","2010, 2012, 2014, 2016, 2018"
"sexeduc","2020s","2021, 2022, 2024"
"divlaw","1970s","1974, 1975, 1976, 1977, 1978"
"divlaw","1980s","1982, 1983, 1985, 1986, 1988, 1989"
"divlaw","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"divlaw","2000s","2000, 2002, 2004, 2006, 2008"
"divlaw","2010s","2010, 2012, 2014, 2016, 2018"
"divlaw","2020s","2022, 2024"
"divlawy","1970s","1978"
"premarsx","1970s","1972, 1974, 1975, 1977, 1978"
"premarsx","1980s","1982, 1983, 1985, 1986, 1988, 1989"
"premarsx","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"premarsx","2000s","2000, 2002, 2004, 2006, 2008"
"premarsx","2010s","2010, 2012, 2014, 2016, 2018"
"premarsx","2020s","2021, 2022, 2024"
"teensex","1980s","1986, 1988, 1989"
"teensex","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"teensex","2000s","2000, 2002, 2004, 2006, 2008"
"teensex","2010s","2010, 2012, 2014, 2016, 2018"
"teensex","2020s","2021, 2022, 2024"
"xmarsex","1970s","1973, 1974, 1976, 1977"
"xmarsex","1980s","1980, 1982, 1984, 1985, 1987, 1988, 1989"
"xmarsex","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"xmarsex","2000s","2000, 2002, 2004, 2006, 2008"
"xmarsex","2010s","2010, 2012, 2014, 2016, 2018"
"xmarsex","2020s","2021, 2022, 2024"
"homosex","1970s","1973, 1974, 1976, 1977"
"homosex","1980s","1980, 1982, 1984, 1985, 1987, 1988, 1989"
"homosex","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"homosex","2000s","2000, 2002, 2004, 2006, 2008"
"homosex","2010s","2010, 2012, 2014, 2016, 2018"
"homosex","2020s","2021, 2022, 2024"
"homochng","1990s","1994"
"porninf","1970s","1973, 1975, 1976, 1978"
"porninf","1980s","1980, 1983, 1984, 1986, 1987, 1988, 1989"
"porninf","1990s","1990, 1991, 1993, 1994"
"pornmorl","1970s","1973, 1975, 1976, 1978"
"pornmorl","1980s","1980, 1983, 1984, 1986, 1987, 1988, 1989"
"pornmorl","1990s","1990, 1991, 1993, 1994"
"pornrape","1970s","1973, 1975, 1976, 1978"
"pornrape","1980s","1980, 1983, 1984, 1986, 1987, 1988, 1989"
"pornrape","1990s","1990, 1991, 1993, 1994"
"pornout","1970s","1973, 1975, 1976, 1978"
"pornout","1980s","1980, 1983, 1984, 1986, 1987, 1988, 1989"
"pornout","1990s","1990, 1991, 1993, 1994"
"pornlaw","1970s","1973, 1975, 1976, 1978"
"pornlaw","1980s","1980, 1983, 1984, 1986, 1987, 1988, 1989"
"pornlaw","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"pornlaw","2000s","2000, 2002, 2004, 2006, 2008"
"pornlaw","2010s","2010, 2012, 2014, 2016, 2018"
"pornlaw","2020s","2021, 2022, 2024"
"xmovie","1970s","1973, 1975, 1976, 1978"
"xmovie","1980s","1980, 1983, 1984, 1986, 1987, 1988, 1989"
"xmovie","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"xmovie","2000s","2000, 2002, 2004, 2006, 2008"
"xmovie","2010s","2010, 2012, 2014, 2016, 2018"
"xmovie","2020s","2021, 2022, 2024"
"xmovie1","1990s","1994"
"pornimp","1980s","1984"
"porninfo","1980s","1984"
"pornfirm","1980s","1984"
"spanking","1980s","1986, 1988, 1989"
"spanking","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"spanking","2000s","2000, 2002, 2004, 2006, 2008"
"spanking","2010s","2010, 2012, 2014, 2016, 2018"
"spanking","2020s","2021, 2022, 2024"
"letdie1","1970s","1977, 1978"
"letdie1","1980s","1982, 1983, 1985, 1986, 1988, 1989"
"letdie1","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"letdie1","2000s","2000, 2002, 2004, 2006, 2008"
"letdie1","2010s","2010, 2012, 2014, 2016, 2018"
"letdie1","2020s","2021, 2022, 2024"
"letdie2","1970s","1977, 1978"
"letdie2","1980s","1982, 1983"
"suicide1","1970s","1977, 1978"
"suicide1","1980s","1982, 1983, 1985, 1986, 1988, 1989"
"suicide1","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"suicide1","2000s","2000, 2002, 2004, 2006, 2008"
"suicide1","2010s","2010, 2012, 2014, 2016, 2018"
"suicide1","2020s","2021, 2022, 2024"
"suicide2","1970s","1977, 1978"
"suicide2","1980s","1982, 1983, 1985, 1986, 1988, 1989"
"suicide2","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"suicide2","2000s","2000, 2002, 2004, 2006, 2008"
"suicide2","2010s","2010, 2012, 2014, 2016, 2018"
"suicide2","2020s","2021, 2022, 2024"
"suicide3","1970s","1977, 1978"
"suicide3","1980s","1982, 1983, 1985, 1986, 1988, 1989"
"suicide3","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"suicide3","2000s","2000, 2002, 2004, 2006, 2008"
"suicide3","2010s","2010, 2012, 2014, 2016, 2018"
"suicide3","2020s","2021, 2022"
"suicide4","1970s","1977, 1978"
"suicide4","1980s","1982, 1983, 1985, 1986, 1988, 1989"
"suicide4","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"suicide4","2000s","2000, 2002, 2004, 2006, 2008"
"suicide4","2010s","2010, 2012, 2014, 2016, 2018"
"suicide4","2020s","2021, 2022, 2024"
"suineg1","2010s","2016"
"suiclse1","2010s","2016"
"suitime1","2010s","2016"
"strike","1970s","1973"
"civright","1970s","1973"
"antiwar","1970s","1973"
"prowar","1970s","1973"
"school","1970s","1973"
"hit","1970s","1973, 1975, 1976, 1978"
"hit","1980s","1980, 1983, 1984, 1986, 1987, 1988, 1989"
"hit","1990s","1990, 1991, 1993, 1994"
"hitage","1970s","1973, 1975, 1976, 1978"
"hitage","1980s","1980, 1983, 1984, 1986, 1987, 1988, 1989"
"hitage","1990s","1990, 1991, 1993, 1994"
"hitnum","1970s","1973, 1975, 1976, 1978"
"hitnum","1980s","1980, 1983, 1984"
"gun","1970s","1973, 1975, 1976, 1978"
"gun","1980s","1980, 1983, 1984, 1986, 1987, 1988, 1989"
"gun","1990s","1990, 1991, 1993, 1994"
"gunage","1970s","1973, 1975, 1976, 1978"
"gunage","1980s","1980, 1983, 1984, 1986, 1987, 1988, 1989"
"gunage","1990s","1990, 1991, 1993, 1994"
"gunnum","1970s","1973, 1975, 1976, 1978"
"gunnum","1980s","1980, 1983, 1984"
"hitok","1970s","1973, 1975, 1976, 1978"
"hitok","1980s","1980, 1983, 1984, 1986, 1987, 1988, 1989"
"hitok","1990s","1990, 1991, 1993, 1994"
"hitmarch","1970s","1973, 1975, 1976, 1978"
"hitmarch","1980s","1980, 1983, 1984, 1986, 1987, 1988, 1989"
"hitmarch","1990s","1990, 1991, 1993, 1994"
"hitdrunk","1970s","1973, 1975, 1976, 1978"
"hitdrunk","1980s","1980, 1983, 1984, 1986, 1987, 1988, 1989"
"hitdrunk","1990s","1990, 1991, 1993, 1994"
"hitchild","1970s","1973, 1975, 1976, 1978"
"hitchild","1980s","1980, 1983, 1984, 1986, 1987, 1988, 1989"
"hitchild","1990s","1990, 1991, 1993, 1994"
"hitbeatr","1970s","1973, 1975, 1976, 1978"
"hitbeatr","1980s","1980, 1983, 1984, 1986, 1987, 1988, 1989"
"hitbeatr","1990s","1990, 1991, 1993, 1994"
"hitrobbr","1970s","1973, 1975, 1976, 1978"
"hitrobbr","1980s","1980, 1983, 1984, 1986, 1987, 1988, 1989"
"hitrobbr","1990s","1990, 1991, 1993, 1994"
"polhitok","1970s","1973, 1975, 1976, 1978"
"polhitok","1980s","1980, 1983, 1984, 1986, 1987, 1988, 1989"
"polhitok","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"polhitok","2000s","2000, 2002, 2004, 2006, 2008"
"polhitok","2010s","2010, 2012, 2014, 2016, 2018"
"polhitok","2020s","2021, 2022, 2024"
"polabuse","1970s","1973, 1975, 1976, 1978"
"polabuse","1980s","1980, 1983, 1984, 1986, 1987, 1988, 1989"
"polabuse","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"polabuse","2000s","2000, 2002, 2004, 2006, 2008"
"polabuse","2010s","2010, 2012, 2014, 2016, 2018"
"polabuse","2020s","2021, 2022, 2024"
"polmurdr","1970s","1973, 1975, 1976, 1978"
"polmurdr","1980s","1980, 1983, 1984, 1986, 1987, 1988, 1989"
"polmurdr","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"polmurdr","2000s","2000, 2002, 2004, 2006, 2008"
"polmurdr","2010s","2010, 2012, 2014, 2016, 2018"
"polmurdr","2020s","2021, 2022, 2024"
"polescap","1970s","1973, 1975, 1976, 1978"
"polescap","1980s","1980, 1983, 1984, 1986, 1987, 1988, 1989"
"polescap","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"polescap","2000s","2000, 2002, 2004, 2006, 2008"
"polescap","2010s","2010, 2012, 2014, 2016, 2018"
"polescap","2020s","2021, 2022, 2024"
"polattak","1970s","1973, 1975, 1976, 1978"
"polattak","1980s","1980, 1983, 1984, 1986, 1987, 1988, 1989"
"polattak","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"polattak","2000s","2000, 2002, 2004, 2006, 2008"
"polattak","2010s","2010, 2012, 2014, 2016, 2018"
"polattak","2020s","2021, 2022, 2024"
"fear","1970s","1973, 1974, 1976, 1977"
"fear","1980s","1980, 1982, 1984, 1985, 1987, 1988, 1989"
"fear","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"fear","2000s","2000, 2002, 2004, 2006, 2008"
"fear","2010s","2010, 2012, 2014, 2016, 2018"
"fear","2020s","2021, 2022, 2024"
"fearhome","1980s","1982"
"burglr","1970s","1973, 1974, 1976, 1977"
"burglr","1980s","1980, 1982, 1984, 1985, 1987, 1988, 1989"
"burglr","1990s","1990, 1991, 1993, 1994"
"robbry","1970s","1973, 1974, 1976, 1977"
"robbry","1980s","1980, 1982, 1984, 1985, 1987, 1988, 1989"
"robbry","1990s","1990, 1991, 1993, 1994"
"owngun","1970s","1973, 1974, 1976, 1977"
"owngun","1980s","1980, 1982, 1984, 1985, 1987, 1988, 1989"
"owngun","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"owngun","2000s","2000, 2002, 2004, 2006, 2008"
"owngun","2010s","2010, 2012, 2014, 2016, 2018"
"owngun","2020s","2021, 2022, 2024"
"pistol","1970s","1973, 1974, 1976, 1977"
"pistol","1980s","1980, 1982, 1984, 1985, 1987, 1988, 1989"
"pistol","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"pistol","2000s","2000, 2002, 2004, 2006, 2008"
"pistol","2010s","2010, 2012, 2014, 2016, 2018"
"pistol","2020s","2021, 2022, 2024"
"shotgun","1970s","1973, 1974, 1976, 1977"
"shotgun","1980s","1980, 1982, 1984, 1985, 1987, 1988, 1989"
"shotgun","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"shotgun","2000s","2000, 2002, 2004, 2006, 2008"
"shotgun","2010s","2010, 2012, 2014, 2016, 2018"
"shotgun","2020s","2021, 2022, 2024"
"rifle","1970s","1973, 1974, 1976, 1977"
"rifle","1980s","1980, 1982, 1984, 1985, 1987, 1988, 1989"
"rifle","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"rifle","2000s","2000, 2002, 2004, 2006, 2008"
"rifle","2010s","2010, 2012, 2014, 2016, 2018"
"rifle","2020s","2021, 2022, 2024"
"rowngun","1980s","1980, 1982, 1984, 1985, 1987, 1988, 1989"
"rowngun","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"rowngun","2000s","2000, 2002, 2004, 2006, 2008"
"rowngun","2010s","2010, 2012, 2014, 2016, 2018"
"rowngun","2020s","2021, 2022, 2024"
"ticket","1970s","1973, 1974, 1976, 1977"
"ticket","1980s","1980, 1982, 1984"
"ticket","2010s","2012"
"arrest","1970s","1973, 1974, 1976, 1977"
"arrest","1980s","1980, 1982, 1984"
"arrest","2010s","2012"
"convictd","2010s","2012"
"lockedup","2010s","2012"
"hunt","1970s","1977"
"hunt","1980s","1980, 1982, 1984, 1985, 1987, 1988, 1989"
"hunt","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"hunt","2000s","2000, 2002, 2004, 2006, 2008"
"hunt","2010s","2010, 2012, 2014, 2016, 2018"
"hunt","2020s","2021, 2022, 2024"
"hunt1","2010s","2016, 2018"
"hunt1","2020s","2021, 2022, 2024"
"huntothr","1970s","1977"
"huntothr","1980s","1980, 1982, 1984"
"news","1970s","1972, 1975, 1977, 1978"
"news","1980s","1982, 1983, 1985, 1986, 1987, 1988, 1989"
